name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
paris,2022-02-24,11.9,4.5,8.2,11.9,1.6,6.5,3.4,72,2.099,100,12.5,rain,0,0,67.8,26.5,256.5,1017.9,75.8,23.2,30.1,2.7,2,10,2022-02-24T07:42:33,2022-02-24T18:25:57,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-25,10.4,3,6.3,10.4,0.1,3.9,0.4,67.2,0.027,100,4.17,rain,0,0,39.8,18.6,299.6,1028.3,25.4,23.8,41.9,3.6,4,10,2022-02-25T07:40:38,2022-02-25T18:27:34,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-26,10,1.8,5.6,10,-0.5,3.6,-0.4,67.3,0.144,100,4.17,rain,0,0,39.3,19.5,114.5,1031.9,5.2,20.6,47.2,4.1,4,10,2022-02-26T07:38:42,2022-02-26T18:29:10,0.89,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-27,9.7,0.9,5.1,7.7,-2.8,2.4,-2.7,58,0,0,0,,0,0,37.2,16.3,124.1,1026.9,6.7,23.2,49,4.2,4,10,2022-02-27T07:36:46,2022-02-27T18:30:46,0.94,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-02-28,11.7,0.4,5.8,11.7,-2.5,4.5,-3.2,54.6,0,0,0,,0,0,27.2,15.3,134.7,1028.4,27.4,21.9,45.5,3.9,3,10,2022-02-28T07:34:48,2022-02-28T18:32:22,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-01,12.9,3.5,7.8,12.9,2.2,7.2,0,58.9,0,0,0,,0,0,23.5,11.2,146.8,1026.5,94.5,17.2,36.5,2.8,1,10,2022-03-01T07:32:50,2022-03-01T18:33:57,1,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-02,12.5,6.2,8.8,12.5,4.3,8.2,1.2,59.3,0,0,0,,0,0,18.4,9.3,110.2,1020.9,94.4,15.4,41.8,3.4,1,10,2022-03-02T07:30:51,2022-03-02T18:35:32,1,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-03,12.3,7.1,9.7,12.3,6.1,9.3,5.9,77.9,0,0,0,,0,0,20.1,9.9,206.6,1016.8,94.9,12,51.5,4.1,3,10,2022-03-03T07:28:52,2022-03-03T18:37:07,0,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-04,12.5,7.7,9.7,12.5,6.3,9.3,6.6,80.9,0,0,0,rain,0,0,31.8,15.7,339.1,1018.4,93.8,10.1,28.1,2.3,1,10,2022-03-04T07:26:51,2022-03-04T18:38:42,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"07149099999,07146099999,LFPV,07156099999,07157099999,07147099999,C1292,07150099999,D3623"
paris,2022-03-05,12,6.6,8.9,12,5.2,7.9,4.4,74.8,0,0,0,,0,0,30.6,14.4,11.9,1019.7,74.8,8.7,50.5,4,2,10,2022-03-05T07:24:50,2022-03-05T18:40:16,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-06,8.8,1.8,5.3,6.2,-1.8,2.1,-1.6,64.1,0.007,100,4.17,"rain,snow",0,0,47.4,22.9,39.8,1022.7,30.9,10.5,58,4.5,4,10,2022-03-06T07:22:49,2022-03-06T18:41:50,0.08,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-07,6.9,-0.1,3.4,3.8,-4.2,-0.3,-4.8,55.9,0,0,0,,0,0,50.9,20.5,82,1021.8,5.7,17.1,58.9,4.7,4,10,2022-03-07T07:20:47,2022-03-07T18:43:24,0.12,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-08,12.8,-0.2,5.9,12.8,-3.6,3.9,-3.2,53,0,0,0,,0,0,33.5,15.7,125.9,1017.6,4.2,14.9,52.3,4.4,4,10,2022-03-08T07:18:44,2022-03-08T18:44:57,0.16,Clear,Clear conditions throughout the day.,clear-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-09,15.4,3.4,9.2,15.4,1.3,8.3,2.6,64.6,0,0,0,,0,0,34.8,15.3,174.3,1020.5,54,16.1,43.2,3.7,2,10,2022-03-09T07:16:41,2022-03-09T18:46:31,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-10,17,5.2,10.8,17,2.7,9.9,2.9,59.3,0,0,0,,0,0,33.8,16.2,143.8,1019.3,60,19.7,55.5,4.7,4,10,2022-03-10T07:14:38,2022-03-10T18:48:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07149099999,07156099999,07146099999,07157099999,07147099999,C1292,07150099999"
paris,2022-03-11,12.9,7.1,9.8,12.9,5.3,8.8,5.6,75.6,2.993,100,20.83,rain,0,0,48.5,19.7,171,1011,83.4,21.1,20.8,1.8,1,10,2022-03-11T07:12:34,2022-03-11T18:49:36,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07149099999,07156099999,07146099999,07145099999,07157099999,07147099999,C1292,07150099999"
