date,pm25,pm10,o3,no2,so2,co,AQI
2022/2/1,49.0,21.0,22.0,20.0,0.0,0.0,49.0
2022/2/2,35.0,24.0,27.0,24.0,0.0,0.0,35.0
2022/2/3,48.0,19.0,26.0,21.0,0.0,0.0,48.0
2022/2/4,41.0,27.0,22.0,34.0,0.0,0.0,41.0
2022/2/5,57.0,17.0,28.0,12.0,0.0,0.0,57.0
2022/2/6,39.0,26.0,26.0,20.0,0.0,0.0,39.0
2022/2/7,39.0,36.0,18.0,32.0,0.0,0.0,39.0
2022/2/8,73.0,41.0,8.0,38.0,0.0,0.0,73.0
2022/2/9,68.0,28.0,24.0,23.0,0.0,0.0,68.0
2022/2/10,64.0,27.0,21.0,25.0,0.0,0.0,64.0
2022/2/11,52.0,37.0,20.0,33.0,0.0,0.0,52.0
2022/2/12,66.0,42.0,23.0,28.0,0.0,0.0,66.0
2022/2/13,62.0,25.0,27.0,24.0,0.0,0.0,62.0
2022/2/14,31.0,21.0,27.0,25.0,0.0,0.0,31.0
2022/2/15,34.0,9.0,27.0,28.0,0.0,0.0,34.0
2022/2/16,19.0,33.0,30.0,29.0,0.0,0.0,33.0
2022/2/17,47.0,19.0,30.0,26.0,0.0,0.0,47.0
2022/2/18,38.0,22.0,28.0,17.0,0.0,0.0,38.0
2022/2/19,36.0,24.0,33.0,15.0,0.0,0.0,36.0
2022/2/20,36.0,28.0,31.0,16.0,0.0,0.0,36.0
2022/2/21,46.0,33.0,30.0,22.0,0.0,0.0,46.0
2022/2/22,52.0,31.0,30.0,30.0,0.0,0.0,52.0
2022/2/23,54.0,25.0,28.0,26.0,0.0,0.0,54.0
2022/2/24,40.0,25.0,28.0,20.0,0.0,0.0,40.0
2022/2/25,34.0,34.0,29.0,32.0,0.0,0.0,34.0
2022/2/26,60.0,28.0,27.0,27.0,0.0,0.0,60.0
2022/2/27,55.0,34.0,23.0,37.0,0.0,0.0,55.0
2022/2/28,62.0,58.0,22.0,43.0,0.0,0.0,62.0
2022/1/3,38.0,12.0,24.0,23.0,0.0,0.0,38.0
2022/1/4,26.0,22.0,19.0,19.0,0.0,0.0,26.0
2022/1/5,37.0,31.0,17.0,25.0,0.0,0.0,37.0
2022/1/6,58.0,18.0,25.0,22.0,0.0,0.0,58.0
2022/1/7,40.0,14.0,31.0,28.0,0.0,0.0,40.0
2022/1/8,37.0,16.0,28.0,22.0,0.0,0.0,37.0
2022/1/9,34.0,33.0,17.0,36.0,0.0,0.0,36.0
2022/1/10,76.0,40.0,13.0,30.0,0.0,0.0,76.0
2022/1/11,80.0,52.0,2.0,35.0,0.0,0.0,80.0
2022/1/12,104.0,37.0,2.0,25.0,0.0,0.0,104.0
